Sr_no,Age,Gender,EmploymentStatus,Monthly Household Income,Household Size,Current Residential Area,Type of Residence,Current Residence Duration,Factors Influencing Residential Choice,Transportation Mode,Average Commute Time_1way,Distance traveled_1w,Average weekday trips per person,Travel Purpose,Factors influencing transportation choice
88,26-35 Years ,Female ,Business ,"₹50,001 - ₹75,000 ",5,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Walking,10-15 minutes ,1-5 km ,1-2 trips ,Work,"Cost , Travel time, Convenience "
89,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
90,36-45 Years ,Female ,Business ,"₹50,001 - ₹75,000 ",5,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
91,46-55 Years ,Male ,Business ,"Above ₹75,000 ",6,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
92,36-45 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",5,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
93,26-35 Years ,Female ,Business ,"₹30,001 - ₹50,000 ",5,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time"
94,26-35 Years ,Female ,Business ,"₹30,001 - ₹50,000 ",4,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
95,26-35 Years ,Female ,Business ,"₹15,000 - ₹30,000",4,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
96,36-45 Years ,Male ,Student ,"₹30,001 - ₹50,000 ",5,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Cycle  ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport "
97,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
98,26-35 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
99,26-35 Years ,Female ,Homemaker,"Above ₹75,000 ",3,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Shopping ,"Cost , Travel time, Convenience , Safety "
100,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",3,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
101,18-25 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",7,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
102,26-35 Years ,Male ,Student ,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Environmental impact , Safety "
103,36-45 Years ,Female ,Homemaker,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
104,36-45 Years ,Male ,Business ,"Above ₹75,000 ",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
105,18-25 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,More than 10 years ,"Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Public Transit (City Bus) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Safety , Going to multiple locations in same trip"
106,26-35 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Public Transit (City Bus) ,15-30 minutes,5-10 km,2-3 trips ,Education,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
107,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",5,Core,Apartment/ flat ,5-10 Years ,"Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,2-3 trips ,Education,"Cost , Travel time, Convenience , Availability of options"
108,26-35 Years ,Female ,Homemaker,"Above ₹75,000 ",4,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
109,26-35 Years ,Male ,Business ,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
110,36-45 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",3,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
111,46-55 Years ,Female ,Business ,"Above ₹75,000 ",6,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
112,56-65 Years ,Male ,Retired ,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Safety , Going to multiple locations in same trip"
113,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
114,36-45 Years ,Male ,Employed Part-Time ,"₹30,001 - ₹50,000 ",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Access to public transportation , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,4-5 trips ,Work,"Cost , Travel time, Safety , Going to multiple locations in same trip"
115,56-65 Years ,Male ,Business ,"Above ₹75,000 ",8,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Safety "
116,46-55 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Public Transit (City Bus) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
117,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Public Transit (City Bus) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
118,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Public Transit (City Bus) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
119,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Public Transit (City Bus) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Environmental impact , Safety , Going to multiple locations in same trip"
120,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
121,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Core,Independent House ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport , Environmental impact , Safety "
122,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
123,46-55 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,10-15 minutes ,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
124,56-65 Years ,Female ,Business ,"Above ₹75,000 ",7,Core,Row House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
125,26-35 Years ,Male ,Employed Full-Time,"₹30,001 - ₹50,000 ",7,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
126,36-45 Years ,Male ,Employed Full-Time,"₹15,000 - ₹30,000",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Car) ,15-30 minutes,5-10 km,2-3 trips ,Education,"Cost , Travel time, Convenience , Safety "
127,18-25 Years ,Female ,Business ,"₹50,001 - ₹75,000 ",2,Core,Independent House ,Less than 1 year,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
128,26-35 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety ",Walking,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
129,26-35 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Proximity to family/friends , Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety "
130,26-35 Years ,Male ,Employed Part-Time ,"Below ₹15,000  ",4,Core,Independent House ,1-3 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
131,36-45 Years ,Female ,Business ,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Neighborhood safety , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
132,36-45 Years ,Female ,Business ,"Above ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Walking,Less than 10 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
133,36-45 Years ,Female ,Homemaker,"₹50,001 - ₹75,000 ",4,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
134,46-55 Years ,Female ,Business ,"Above ₹75,000 ",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Walking,Less than 10 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
135,46-55 Years ,Male ,Business ,"Above ₹75,000 ",8,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Walking,Less than 10 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
136,26-35 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",7,Core,Independent House ,3-5 Years ,"Proximity to workplace , Housing affordability , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
137,56-65 Years ,Male ,Business ,"Above ₹75,000 ",7,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Walking,Less than 10 minutes ,1-5 km ,4-5 trips ,Health,"Cost , Travel time, Convenience , Availability of options, Safety "
138,56-65 Years ,Male ,Business ,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Walking,Less than 10 minutes ,1-5 km ,4-5 trips ,Health,"Cost , Travel time, Convenience , Availability of options, Safety "
139,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",6,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Education,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
140,36-45 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",6,Core,Independent House ,More than 10 years ,"Proximity to workplace , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
141,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",6,Core,Independent House ,More than 10 years ,"Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Public Transit (City Bus) ,15-30 minutes,5-10 km,2-3 trips ,Education,"Cost , Travel time, Convenience , Safety "
142,26-35 Years ,Female ,Homemaker,"Above ₹75,000 ",3,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
143,26-35 Years ,Male ,Employed Full-Time,"₹50,001 - ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
144,26-35 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",6,Core,Independent House ,5-10 Years ,"Proximity to workplace , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience "
145,26-35 Years ,Male ,Business ,"₹50,001 - ₹75,000 ",3,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,1-5 km ,4-5 trips ,Leisure ,"Cost , Travel time, Convenience , Availability of options, Safety "
146,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of Parking , Safety , Going to multiple locations in same trip"
147,36-45 Years ,Male ,Business ,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Walking,Less than 10 minutes ,1-5 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
148,36-45 Years ,Male ,Business ,"Above ₹75,000 ",4,Core,Independent House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,4-5 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Safety "
149,36-45 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",4,Core,Slum Area ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Cycle  ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport "
150,46-55 Years ,Male ,Business ,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Proximity to family/friends ",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,4-5 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Safety "
151,18-25 Years ,Female ,Employed Part-Time ,"₹15,000 - ₹30,000",2,Core,Slum Area ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Bike),30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Unavailability of Public Transport "
152,46-55 Years ,Female ,Business ,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Availability of amenities (markets, parks, etc.)",Walking,Less than 10 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
153,26-35 Years ,Female ,Employed Part-Time ,"₹15,000 - ₹30,000",3,Core,Slum Area ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience , Availability of options"
154,36-45 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",5,Core,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Availability of amenities (markets, parks, etc.)",Personal Vehicle (Bike),15-30 minutes,5-10 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety , Going to multiple locations in same trip"
155,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",4,Core,Row House ,3-5 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Availability of amenities (markets, parks, etc.)",Autorickshaw/ Cab ,30-45 minutes,More than 15 km,6 or more trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport , Environmental impact "
156,36-45 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",6,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Bike),15-30 minutes,5-10 km,4-5 trips ,Shopping ,"Cost , Travel time, Convenience , Availability of options, Safety "
157,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",6,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,1-2 trips ,Work,"Cost , Travel time, Convenience , Safety "
158,18-25 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",4,Core,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends ",Personal Vehicle (Bike),10-15 minutes ,5-10 km,4-5 trips ,Education,"Cost , Travel time, Convenience , Availability of options"
159,46-55 Years ,Female ,Business ,"Above ₹75,000 ",7,Core,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Proximity to family/friends ",Personal Vehicle (Bike),Less than 10 minutes ,1-5 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Safety "
160,26-35 Years ,Female ,Student ,"Above ₹75,000 ",4,Developed,Independent House ,5-10 Years ,"Housing affordability , Access to public transportation ",Public Transit (City Bus) ,15-30 minutes,10-15 km ,1-2 trips ,Work,"Cost , Travel time, Safety "
161,36-45 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",7,Developed,Apartment/ flat ,1-3 Years ,"Proximity to workplace , Housing affordability ",Personal Vehicle (Bike),More than 45 minutes ,More than 15 km,2-3 trips ,Work,"Convenience , Availability of options, Unavailability of Public Transport "
162,36-45 Years ,Female ,Business ,"Above ₹75,000 ",7,Developed,Apartment/ flat ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Neighborhood safety , Proximity to family/friends , Availability of amenities (markets, parks, etc.), Environmental quality (air quality, noise levels) ",Personal Vehicle (Bike),15-30 minutes,10-15 km ,6 or more trips ,Education,"Cost , Travel time, Convenience , Availability of options, Environmental impact , Going to multiple locations in same trip"
163,36-45 Years ,Male ,Business ,"Above ₹75,000 ",7,Developed,Independent House ,More than 10 years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions , Environmental quality (air quality, noise levels) ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,4-5 trips ,Work,"Cost , Travel time, Convenience , Availability of options, Unavailability of Public Transport "
164,36-45 Years ,Male ,Employed Part-Time ,"₹15,000 - ₹30,000",3,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Quality of schools/educational institutions ",Public Transit (City Bus) ,15-30 minutes,10-15 km ,1-2 trips ,Work,"Cost , Travel time, Convenience "
165,46-55 Years ,Female ,Employed Part-Time ,"₹15,000 - ₹30,000",4,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Public Transit (City Bus) ,15-30 minutes,5-10 km,1-2 trips ,Work,"Travel time, Convenience "
166,18-25 Years ,Male ,Student ,"₹50,001 - ₹75,000 ",5,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Public Transit (City Bus) ,15-30 minutes,10-15 km ,2-3 trips ,Education,"Cost , Travel time, Convenience , Safety "
167,18-25 Years ,Female ,Student ,"₹50,001 - ₹75,000 ",4,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Public Transit (City Bus) ,30-45 minutes,10-15 km ,2-3 trips ,Education,"Cost , Travel time, Convenience , Availability of options"
168,26-35 Years ,Female ,Employed Full-Time,"₹50,001 - ₹75,000 ",3,Developed,Apartment/ flat ,3-5 Years ,"Proximity to workplace , Housing affordability , Access to public transportation ",Personal Vehicle (Car) ,30-45 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
169,36-45 Years ,Male ,Homemaker,"₹30,001 - ₹50,000 ",4,Developed,Apartment/ flat ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Public Transit (City Bus) ,15-30 minutes,10-15 km ,2-3 trips ,Work,"Cost , Travel time, Convenience "
170,46-55 Years ,Male ,Employed Full-Time,"Above ₹75,000 ",6,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
171,26-35 Years ,Female ,Employed Full-Time,"Above ₹75,000 ",5,Developed,Row House ,5-10 Years ,"Proximity to workplace , Housing affordability , Access to public transportation , Quality of schools/educational institutions ",Personal Vehicle (Car) ,30-45 minutes,More than 15 km,2-3 trips ,Work,"Cost , Travel time, Convenience , Safety "
